
ศ์ÿ ๎แ๐เ็เ                     PID ศ์ÿ ๑ๅ๑๑่่          น ๑ๅเํ๑เ       ฯเ์ÿ๒ü ั๎๑๒๎ÿํ่ๅ       ฯ๎๋ü็๎โเ๒ๅ๋ü                                           ย๐ๅ์ÿ ึฯ วเใ๎๋๎โ๎๊ ๎๊ํเ                                                          
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0         8 สม Unknown         NT AUTHORITY\ัศัาลฬภ                                  267:25:31 อ/ฤ                                                                     
System                           4 Services                   0        36 สม Unknown         อ/ฤ                                                     0:11:36 อ/ฤ                                                                     
Registry                       148 Services                   0    77 860 สม Unknown         อ/ฤ                                                     0:00:01 อ/ฤ                                                                     
smss.exe                       468 Services                   0       536 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
csrss.exe                      684 Services                   0     2 384 สม Unknown         อ/ฤ                                                     0:00:07 อ/ฤ                                                                     
wininit.exe                    772 Services                   0     3 800 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
services.exe                   916 Services                   0     8 348 สม Unknown         อ/ฤ                                                     0:00:29 อ/ฤ                                                                     
lsass.exe                      936 Services                   0    14 856 สม Unknown         อ/ฤ                                                     0:00:33 อ/ฤ                                                                     
svchost.exe                    540 Services                   0       808 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                    580 Services                   0    25 004 สม Unknown         อ/ฤ                                                     0:00:37 อ/ฤ                                                                     
fontdrvhost.exe                492 Services                   0     1 492 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                   1092 Services                   0    17 276 สม Unknown         อ/ฤ                                                     0:01:24 อ/ฤ                                                                     
svchost.exe                   1144 Services                   0     5 924 สม Unknown         อ/ฤ                                                     0:00:03 อ/ฤ                                                                     
svchost.exe                   1288 Services                   0     7 708 สม Unknown         อ/ฤ                                                     0:00:11 อ/ฤ                                                                     
svchost.exe                   1360 Services                   0     5 480 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                   1432 Services                   0     2 392 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                   1500 Services                   0    11 100 สม Unknown         อ/ฤ                                                     0:00:08 อ/ฤ                                                                     
